smiles_1,smiles_2,mol_%_1,mol_%_2,Tg,Tg_predicted_mean,Tg_predicted_std
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=C(C)C(C)=C(C(C)=C5(C))*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,80,20,422,363.3275169669199,29.29106736906117
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=C(C)C(C)=C(C(C)=C5(C))*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,50,50,406,361.1161957575301,27.412144198657813
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=C(C)C(C)=C(C(C)=C5(C))*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,20,80,397,343.4157653763509,28.11279734616537
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=C(C)C(C)=C(C(C)=C5(C))*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC(=CC=C5)*,80,20,399,366.47136130572926,28.58086887299595
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=C(C)C(C)=C(C(C)=C5(C))*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC(=CC=C5)*,50,50,378,358.2005212100788,27.038819739817917
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=C(C)C(C)=C(C(C)=C5(C))*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC(=CC=C5)*,20,80,319,334.9451479139108,28.23838266529015
*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C(C(F)(F)(F))=C5)C6=C(C(F)(F)(F))C=C(C=C6)*,70,30,371,345.41068467989186,29.37379748299988
*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C(C(F)(F)(F))=C5)C6=C(C(F)(F)(F))C=C(C=C6)*,50,50,357,341.1777972574164,30.292710082861657
*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C(C(F)(F)(F))=C5)C6=C(C(F)(F)(F))C=C(C=C6)*,30,70,357,339.12103402762057,30.82153461101045
*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)OC(C=C5)=CC=C5*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC(C=C5)=CC=C5*,75,25,344,330.7248922238127,28.217660961609205
